zip_code,city,county
47968,New Ross,Montgomery
47969,Newtown,Fountain
47970,Otterbein,Benton
47971,Oxford,Benton
47974,Perrysville,Vermillion
47975,Pine Village,Warren
47977,Remington,Jasper
47978,Rensselaer,Jasper
47980,Reynolds,White
47981,Romney,Tippecanoe
47982,State Line,Warren
47983,Stockwell,Tippecanoe
47984,Talbot,Benton
47986,Templeton,Benton
47987,Veedersburg,Fountain
47988,Wallace,Fountain
47989,Waveland,Montgomery
47990,Waynetown,Montgomery
47991,West Lebanon,Warren
47992,Westpoint,Tippecanoe
47993,Williamsport,Warren
47994,Wingate,Montgomery
47995,Wolcott,White
47996,West Lafayette,Tippecanoe
47997,Yeoman,Carroll
